ac_no,ac_name,district,region,reservation,is_reserved,winner_party_2021,margin_pct_polled_2021,turnout_pct_2021,total_electors_2021,votes_polled_2021,valid_votes_2021,tmc_pct_2021,bjp_pct_2021,left_inc_pct_2021,other_pct_2021,winner_pct_2021,winner_party_2026,margin_pct_polled_2026,turnout_pct_2026,total_electors_2026,votes_polled_2026,valid_votes_2026,tmc_pct_2026,bjp_pct_2026,left_inc_pct_2026,other_pct_2026,winner_pct_2026,swing_tmc,swing_bjp,tmc_lead_2021,tmc_lead_2026,roll_change_pct,turnout_change,third_party_hold_2021
250,RAIPUR,Bankura,Jangalmahal,ST,1,TMC,9.97,86.59,224604,194476,191490,52.76672411091963,42.636691211029294,0.0,4.596584678051073,51.96,BJP,13.67,93.59,224609,210215,208386,39.686447266131125,53.47912047834308,4.482546812165884,2.351885443359919,53.01,-13.080276844788507,10.842429267313783,10.130032899890338,-13.792673212211952,0.0022261402290224552,7.0,0.0
251,TALDANGRA,Bankura,Jangalmahal,GEN,0,TMC,6.09,87.1,233291,203186,199668,46.089508584249856,39.890718592864154,11.613778872929062,2.4059939499569283,45.29,BJP,22.77,92.91,236732,219936,218237,34.12070363870471,57.06502563726591,6.927331295793105,1.8869394282362753,56.62,-11.968804945545145,17.174307044401758,6.198789991385702,-22.9443219985612,1.4749818895714029,5.810000000000002,0.0
252,BANKURA,Bankura,Jangalmahal,GEN,0,BJP,0.67,80.79,269829,217986,213479,44.03149724328857,44.71915270354461,6.447472585125469,4.801877468041353,43.79,BJP,22.64,91.5,261565,239331,235798,35.121163029372596,58.09718487858252,5.053053885105047,1.7285982069398382,57.24,-8.910334213915974,13.378032175037909,-0.687655460256039,-22.97602184920992,-3.062680438351695,10.709999999999994,0.0
253,BARJORA,Bankura,Jangalmahal,GEN,0,TMC,1.49,87.53,250729,219452,214549,43.48190856168055,41.958247300150546,11.761881901104177,2.7979622370647266,42.51,BJP,17.55,93.32,252205,235362,232676,36.14854991490313,53.90285203458887,7.335092575082948,2.6135054754250544,53.29,-7.33335864677742,11.944604734438322,1.5236612615300018,-17.75430211968574,0.588683399207901,5.789999999999992,0.0
254,ONDA,Bankura,Jangalmahal,GEN,0,BJP,5.12,87.88,256906,225759,220880,42.28042375950743,47.50996015936255,7.335657370517929,2.873958710612097,46.48,BJP,12.88,93.61,263110,246292,242329,39.85201936210689,52.94289994181464,4.837638087063455,2.3674426090150167,52.09,-2.4284043974005414,5.432939782452088,-5.229536399855121,-13.09088057970775,2.4148910496446074,5.730000000000004,0.0
255,BISHNUPUR,Bankura,Jangalmahal,GEN,0,BJP,5.96,87.32,219284,191469,188050,41.62137729327306,47.69423025791013,8.409465567668173,2.2749268811486307,46.84,BJP,14.75,93.95,220848,207478,205298,39.20008962581223,54.10768736178628,1.7759549532874164,4.916268059114068,53.54,-2.421287667460831,6.413457103876155,-6.072852964637065,-14.90759773597405,0.7132303314423272,6.63000000000001,0.0
256,KATULPUR,Bankura,Jangalmahal,SC,1,BJP,5.26,90.82,246785,224123,222267,42.398106781483534,47.70028839188903,7.989040208398007,1.9125646182294267,47.31,BJP,14.3,94.44,254394,240253,238591,38.50690093088172,52.91104861457473,6.819201059553797,1.7628493949897523,52.55,-3.891205850601814,5.2107602226857,-5.302181610405498,-14.404147683693012,3.083250602751386,3.6200000000000045,0.0
257,INDUS,Bankura,Jangalmahal,SC,1,BJP,3.31,89.92,242938,218453,215271,45.392087183131956,48.74599922887895,5.8619135879890925,0.0,48.04,BJP,0.39,94.55,245791,232394,230812,46.718974750013,47.10890248340641,3.998059026393775,2.174063740186819,46.79,1.326887566881041,-1.6370967454725402,-3.353912045746995,-0.3899277333934137,1.1743737085182282,4.6299999999999955,0.0
258,SONAMUKHI,Bankura,Jangalmahal,SC,1,BJP,5.24,89.14,233059,207739,205663,42.43495426984922,47.729051895576745,7.646003413350967,2.1899904212230688,47.25,BJP,13.26,93.89,236292,221852,219791,39.191322665623254,52.57221633278888,5.629893853706475,2.6065671478813965,52.08,-3.2436316042259676,4.843164437212131,-5.294097625727524,-13.380893667165623,1.3872023822294022,4.75,0.0
259,KHANDAGHOSH,Purba Bardhaman,Rarh Bengal,SC,1,TMC,9.59,89.77,242730,217897,215953,48.28087593133691,38.609327029492526,10.614809703963362,2.494987335207198,47.85,TMC,3.71,95.49,233783,223246,221975,46.93456470323235,43.20261290685888,8.740173442955287,1.1226489469534857,46.67,-1.346311228104561,4.593285877366355,9.671548901844382,3.7319517963734654,-3.6859885469451625,5.719999999999999,0.0
